run_dir,timing_mode,input_location,prebuild_inputs,cpu_input_dtype,mcs_index,mcs_qm,mcs_code_rate_x1024,mother_code_rate,rate_matching_enabled,snr_index,snr_db,noise_sigma,num_codeblocks,llr_len,msg_bits_per_cb,msg_bytes_per_cb,base_graph,zc,n_rows,aerial_input_len,aerial_prepend_punctured_llrs,group_cbs,grouping_mode,decoder_api,explicit_method_name,num_groups,first_group_tb_size,first_group_rate_match_len,code_rate,rv,num_iterations,llr_sign,llr_scale,throughput_mode,warmup_repeats,measured_repeats,total_elapsed_ms,mean_pass_ms,std_pass_ms,min_pass_ms,max_pass_ms,mean_us_per_codeblock,std_us_per_codeblock,min_us_per_codeblock,max_us_per_codeblock,mean_host_call_us_per_codeblock,std_host_call_us_per_codeblock,min_host_call_us_per_codeblock,max_host_call_us_per_codeblock,codeblocks_per_second,information_mbps,aerial_bit_errors,aerial_total_bits,aerial_ber,aerial_block_errors,aerial_total_blocks,aerial_bler
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_00,gpu_decode_only,gpu,True,float32,5,2,379,0.3701171875,False,0,0,1,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,57792.180925009234,57.792180925009234,8.833850602676334,52.21984000127122,117.41294200146513,56.43767668457933,8.626807229176107,50.99593750124143,114.66107617330579,55.46349133397933,9.169817835098637,46.97345214843551,114.63054785032512,17718.659922675975,15.592420731954858,270738,901120,0.30044611150568185,1024,1024,1.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_00,gpu_plus_bus,cpu,True,float32,5,2,379,0.3701171875,False,0,0,1,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,118627.80846099668,118.62780846099668,7.9745415953875,110.2967480001098,178.68635400009225,115.84746920019207,7.787638276745605,107.71166796885723,174.4983925782151,115.83832237401204,7.785471562528453,107.70576464835813,174.481293944595,8632.040103283862,7.596195290889798,,901120,,,1024,
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_01,gpu_decode_only,gpu,True,float32,5,2,379,0.3701171875,False,1,6,0.501187233627272,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,56165.89742998258,56.16589742998258,4.7144789051253815,52.8031159992679,79.13895700039575,54.849509208967355,4.603983305786505,51.56554296803506,77.28413769569897,53.36594236914394,5.5297794486345895,46.50203808687081,77.25914453082794,18231.70370021305,16.043899256187483,0,901120,0.0,0,1024,0.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_01,gpu_plus_bus,cpu,True,float32,5,2,379,0.3701171875,False,1,6,0.501187233627272,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,116676.29587600277,116.67629587600277,4.446992761015049,110.48151400063944,136.73169200046686,113.94169519140894,4.342766368178759,107.89210351624945,133.52704296920592,113.93287197751079,4.340272761105541,107.88478320300499,133.5109335922624,8776.418485964377,7.7232482676486525,,901120,,,1024,
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_02,gpu_decode_only,gpu,True,float32,5,2,379,0.3701171875,False,2,12,0.251188643150958,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,55629.04234499183,55.62904234499183,4.4426250967472125,52.8202629993757,82.5792449995788,54.325236665031085,4.3385010710422,51.58228808532783,80.64379394490118,52.64684453317692,5.165050334645419,46.56287304705131,80.61929101543797,18407.651054812533,16.198732928235028,0,901120,0.0,0,1024,0.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_02,gpu_plus_bus,cpu,True,float32,5,2,379,0.3701171875,False,2,12,0.251188643150958,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,117486.04462900585,117.48604462900585,7.902656868077641,110.28851499941084,178.77600300016638,114.73246545801352,7.717438347732071,107.70362792911214,174.58594042984998,114.72314083988344,7.715155214931856,107.69704980440054,174.57023730393928,8715.928800169915,7.670017344149525,,901120,,,1024,
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_03,gpu_decode_only,gpu,True,float32,5,2,379,0.3701171875,False,3,18,0.125892541179417,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,55813.14707101592,55.81314707101592,4.562941020023289,52.79654500009201,84.87245499964047,54.50502643653899,4.455997089866493,51.55912597665235,82.8832568355864,53.09759477342624,5.300439259167525,47.0801298835255,82.8565185546637,18346.931748841824,16.145299938980806,0,901120,0.0,0,1024,0.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_03,gpu_plus_bus,cpu,True,float32,5,2,379,0.3701171875,False,3,18,0.125892541179417,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,116929.82665898853,116.92982665898853,6.102070041241194,110.64300099860702,175.48564199933026,114.18928384666849,5.959052774649603,108.04980566270217,171.37269726497095,114.18024384964377,5.9568298125588175,108.0428994129079,171.3560771481326,8757.38919023946,7.7065024874107255,,901120,,,1024,
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_04,gpu_decode_only,gpu,True,float32,5,2,379,0.3701171875,False,4,24,0.0630957344480193,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,55695.996952990754,55.695996952990754,4.749216301465655,52.782777000174974,91.979867000191,54.39062202440503,4.637906544400053,51.54568066423337,89.82408886737403,52.87300360449265,5.451809535412057,46.813629882791474,89.79721679658326,18385.522407728684,16.17925971880124,0,901120,0.0,0,1024,0.0
/opt/nvidia/cuBB/pyaerial/notebooks/ldpc_final_tesc/mcs_05/snr_04,gpu_plus_bus,cpu,True,float32,5,2,379,0.3701171875,False,4,24,0.0630957344480193,1024,2360,880,110,1,40,39,2440,80,1,explicit_codeblocks,explicit,decode_codeblocks_explicit,1024,0,2360,0.0,0,5,1.0,1.0,True,50,1000,116937.58668001101,116.93758668001101,4.825759629586179,110.35729900140723,156.51789900039148,114.19686199219825,4.712655888267753,107.77079980606175,152.8495107425698,114.18808210641274,4.710399166486263,107.76434472603569,152.83338574079153,8756.808046689746,7.705991081086976,,901120,,,1024,
